date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:47	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Sep%202023%2004:04:50%20GMT	https://conference.iium.edu.my/icom	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom.0.delayed	(from )
12:04:48	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2013%20Sep%202023%2004:04:51%20GMT	https://conference.iium.edu.my/robots.txt		(from )
12:04:48	121551/121551	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:51%20GMT	https://conference.iium.edu.my/icom/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.html	(from )
12:04:48	41525/41525	---M--	200	added ('OK')	text/css	etag:%22a235-60535478e9af5%22	https://conference.iium.edu.my/icom/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.3.1	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/themes/astra/assets/css/minified/main.min5b31.css	(from https://conference.iium.edu.my/icom/)
12:04:49	104484/104484	---M--	200	added ('OK')	text/css	etag:%2219824-600d5209602c0%22	https://conference.iium.edu.my/icom/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-includes/css/dist/block-library/style.min9b30.css	(from https://conference.iium.edu.my/icom/)
12:04:49	1712/1712	---M--	200	added ('OK')	application/rss+xml	etag:%22cae5a16643d64e0fdb5870a6981b23d2%22	https://conference.iium.edu.my/icom/index.php/feed/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/feed/index.html	(from https://conference.iium.edu.my/icom/)
12:04:49	817/817	---M--	200	added ('OK')	application/rss+xml	etag:%22cae5a16643d64e0fdb5870a6981b23d2%22	https://conference.iium.edu.my/icom/index.php/comments/feed/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/comments/feed/index.html	(from https://conference.iium.edu.my/icom/)
12:04:49	19533/19533	---M--	200	added ('OK')	text/css	etag:%224c4d-6053541865d06%22	https://conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://conference.iium.edu.my/icom/)
12:04:49	117061/117061	---M--	200	added ('OK')	text/css	etag:%221c945-6053541846513%22	https://conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.1	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/css/frontend-lite.min8420.css	(from https://conference.iium.edu.my/icom/)
12:04:49	12876/12876	---M--	200	added ('OK')	text/css	etag:%22324c-6053541873bb2%22	https://conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://conference.iium.edu.my/icom/)
12:04:50	1109/1109	---M--	200	added ('OK')	text/css	etag:%22455-605355255f1e4%22	https://conference.iium.edu.my/icom/wp-content/uploads/elementor/css/post-202.css?ver=1694576433	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/uploads/elementor/css/post-2025f67.css	(from https://conference.iium.edu.my/icom/)
12:04:50	9475/9475	---M--	200	added ('OK')	text/css	etag:%222503-6053552573df3%22	https://conference.iium.edu.my/icom/wp-content/uploads/elementor/css/global.css?ver=1694576433	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/uploads/elementor/css/global5f67.css	(from https://conference.iium.edu.my/icom/)
12:04:51	6200/6200	---M--	200	added ('OK')	application/json	date:Wed,%2013%20Sep%202023%2004:04:53%20GMT	https://conference.iium.edu.my/icom/index.php/wp-json/wp/v2/pages/30	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/wp-json/wp/v2/pages/30.json	(from https://conference.iium.edu.my/icom/)
12:04:51	213997/213997	---MC-	200	added ('OK')	application/json	date:Wed,%2013%20Sep%202023%2004:04:53%20GMT	https://conference.iium.edu.my/icom/index.php/wp-json/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/wp-json/index.html	(from https://conference.iium.edu.my/icom/)
12:04:51	886/886	---M--	200	added ('OK')	text/xml	date:Wed,%2013%20Sep%202023%2004:04:54%20GMT	https://conference.iium.edu.my/icom/xmlrpc.php?rsd	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/xmlrpc0db0.php	(from https://conference.iium.edu.my/icom/)
12:04:52	2547/2547	---M--	200	added ('OK')	application/json	date:Wed,%2013%20Sep%202023%2004:04:54%20GMT	https://conference.iium.edu.my/icom/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconference.iium.edu.my%2Ficom%2F	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/wp-json/oembed/1.0/embed3bfd.json	(from https://conference.iium.edu.my/icom/)
12:04:52	2617/2617	---M--	200	added ('OK')	text/xml	date:Wed,%2013%20Sep%202023%2004:04:55%20GMT	https://conference.iium.edu.my/icom/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconference.iium.edu.my%2Ficom%2F&format=xml	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/wp-json/oembed/1.0/embedf77b	(from https://conference.iium.edu.my/icom/)
12:04:52	9962/9962	---M--	200	added ('OK')	image/png	etag:%2226ea-5d091d22a7a86%22	https://conference.iium.edu.my/icom/wp-content/uploads/2021/11/icom.png	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/uploads/2021/11/icom.png	(from https://conference.iium.edu.my/icom/)
12:04:53	20638/20638	---M--	200	added ('OK')	application/javascript	etag:%22509e-60535478eba35%22	https://conference.iium.edu.my/icom/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.3.1	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/wp-content/themes/astra/assets/js/minified/frontend.min5b31.js	(from https://conference.iium.edu.my/icom/)
12:04:55	119107/119107	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:56%20GMT	https://conference.iium.edu.my/icom/index.php/working-committees/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/working-committees/index.html	(from https://conference.iium.edu.my/icom/)
12:04:55	115896/115896	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:56%20GMT	https://conference.iium.edu.my/icom/index.php/committees/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/committees/index.html	(from https://conference.iium.edu.my/icom/)
12:04:55	118698/118698	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:56%20GMT	https://conference.iium.edu.my/icom/index.php/international-advisory-board/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/international-advisory-board/index.html	(from https://conference.iium.edu.my/icom/)
12:04:55	115958/115958	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:57%20GMT	https://conference.iium.edu.my/icom/index.php/guideline-for-authors/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/guideline-for-authors/index.html	(from https://conference.iium.edu.my/icom/)
12:04:57	117632/117632	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2004:04:58%20GMT	https://conference.iium.edu.my/icom/index.php/manuscript-preparation-submission/	C:/My%20Web%20Sites/ICOM21/conference.iium.edu.my/icom/index.php/manuscript-preparation-submission/index.html	(from https://conference.iium.edu.my/icom/)
